word,frequency
wouldnt,37.0
attack,37.0
cut,37.0
wont,37.0
woke,37.0
e,37.0
),37.0
blue,37.0
blm,37.0
listen,36.0
smarter,36.0
smile,36.0
whatever,36.0
guns,36.0
cool,36.0
daughter,36.0
@mattgaetz,36.0
@potus,36.0
uk,36.0
genuinely,36.0
i'd,36.0
defense,36.0
break,36.0
becoming,35.0
center,35.0
himself,35.0
@racismtakedown,35.0
dumb,35.0
move,35.0
half,35.0
often,35.0
whats,35.0
front,35.0
easy,34.0
@chapelguilt,34.0
die,34.0
outside,34.0
waiting,34.0
issues,34.0
public,34.0
later,34.0
power,34.0
@tokyocrusher,34.0
ready,34.0
course,34.0
afraid,34.0
apparently,34.0
pls,34.0
check,34.0
ground,34.0
dream,34.0
health,33.0
whether,33.0
justified,33.0
heard,33.0
wake,33.0
jesus,33.0
agreed,33.0
themselves,33.0
surprised,33.0
@angry_ohio,33.0
abrams,33.0
mental,33.0
fan,33.0
father,33.0
crazy,33.0
footage,33.0
shut,33.0
comment,33.0
brain,33.0
learn,33.0
@lorddrewster,33.0
towards,33.0
goes,33.0
fair,33.0
@kitten_talker,32.0
arent,32.0
bring,32.0
list,32.0
human,32.0
@dpbuttercup161,32.0
me:,32.0
protect,32.0
eat,32.0
close,32.0
community,32.0
@rickymia305,32.0
realize,32.0
nah,32.0
trial,32.0
@cee_dcisme,32.0
attacked,32.0
red,32.0
couldn't,32.0
violence,32.0
lose,32.0
worse,32.0
soon,32.0
senator,32.0
alive,32.0
lady,32.0
stacey,32.0
finally,32.0
we're,31.0
multiple,31.0
seconds,31.0
expect,31.0
wh,31.0
whenever,31.0
argument,31.0
violent,31.0
extremely,31.0
sir,31.0
pay,31.0
running,31.0
works,31.0
group,31.0
america,31.0
angr,31.0
write,31.0
months,31.0
alone,31.0
af,31.0
attention,31.0
tv,30.0
hours,30.0
gone,30.0
miss,30.0
party,30.0
free,30.0
bunch,30.0
certain,30.0
@tylermi65942082,30.0
wife,30.0
cat,30.0
16,30.0
defend,30.0
fake,30.0
@angry_facts,30.0
let's,30.0
rather,30.0
pissed,30.0
behind,30.0
@icebear2024,30.0
thinks,30.0
dog,29.0
bitch,29.0
fire,29.0
top,29.0
happens,29.0
energy,29.0
worked,29.0
tho,29.0
turned,29.0
@titodinzey,29.0
obviously,29.0
taken,29.0
jury,29.0
age,29.0
mood,29.0
shouldnt,29.0
saved,29.0
tears,29.0
what's,29.0
deal,29.0
@bar0n_thegrey,29.0
lie,29.0
@thehill,29.0
cam,29.0
movies,28.0
joke,28.0
wa,28.0
cuz,28.0
victim,28.0
emotional,28.0
longer,28.0
truly,28.0
blame,28.0
feelings,28.0
music,28.0
@frodogood103074,28.0
simply,28.0
@throwyourdream1,28.0
haven't,28.0
@boardfigures,28.0
explain,28.0
scene,28.0
air,28.0
emotions,28.0
stabbing,28.0
however,28.0
pray,28.0
depressed,28.0
serious,27.0
annoyed,27.0
walk,27.0
none,27.0
middle,27.0
lots,27.0
murdered,27.0
meant,27.0
amazing,27.0
@emily60946744,27.0
hot,27.0
wants,27.0
fine,27.0
na,27.0
6,27.0
dear,27.0
disgusting,27.0
legs,27.0
@the_real_colin,27.0
beat,27.0
@benshapiro,27.0
ya,27.0
chest,27.0
tha,27.0
videos,27.0
likely,27.0
held,26.0
john,26.0
actions,26.0
derek,26.0
food,26.0
follow,26.0
number,26.0
putting,26.0
loud,26.0
usually,26.0
kept,26.0
pain,26.0
smart,26.0
co,26.0
except,26.0
annoying,26.0
due,26.0
dangerous,26.0
lord,26.0
win,26.0
couple,26.0
etc,26.0
arm,26.0
four,26.0
teacher,26.0
brother,25.0
rights,25.0
important,25.0
*angry,25.0
warning,25.0
democrats,25.0
@lacylove2020,25.0
haha,25.0
mr,25.0
minutes,25.0
attacking,25.0
quickly,25.0
@acekingspade,25.0
safe,25.0
favorite,25.0
swear,25.0
@staceyabrams,25.0
obvious,25.0
weeks,25.0
normal,25.0
happening,25.0
shouldn't,25.0
disagree,25.0
skin,25.0
thoughts,25.0
buy,25.0
huge,25.0
knowing,25.0
unhinged,25.0
@suzi_taunton,25.0
situations,25.0
decided,25.0
worried,25.0
fear,24.0
drop,24.0
birthday,24.0
