word,frequency
evening,22.0
problem,22.0
dating,22.0
lie,22.0
camp,22.0
recommend,22.0
state,21.0
issues,21.0
spend,21.0
drunk,21.0
parents,21.0
acc,21.0
drama,21.0
fav,21.0
pe,21.0
calling,21.0
interact,21.0
sing,21.0
scene,21.0
sunshine,21.0
busy,21.0
we've,21.0
recently,21.0
yay,21.0
8,21.0
tons,21.0
sit,21.0
worry,21.0
episodes,21.0
sucks,21.0
random,21.0
except,21.0
sick,21.0
12,21.0
training,21.0
wear,21.0
lost,21.0
teach,21.0
skills,21.0
weather,21.0
buying,21.0
drink,21.0
vote,21.0
unless,21.0
number,21.0
switch,21.0
dear,21.0
system,20.0
drive,20.0
solo,20.0
partner,20.0
air,20.0
followers,20.0
@bts_twt,20.0
film,20.0
co/nttg2qqpas,20.0
folks,20.0
names,20.0
dog,20.0
parties,20.0
gay,20.0
9,20.0
meme,20.0
events,20.0
evil,20.0
lose,20.0
plans,20.0
asf,20.0
st,20.0
wasn't,20.0
promise,20.0
you've,20.0
sub/follow,20.0
hilarious,20.0
@,20.0
sign,20.0
forever,20.0
fridaylivestream,20.0
knows,20.0
personally,20.0
anime,20.0
xd,20.0
straight,20.0
national,20.0
pm,20.0
ton,20.0
trump,20.0
tired,20.0
loads,20.0
reasons,20.0
facebook,20.0
starts,20.0
allowed,20.0
@arashi5official,20.0
page,20.0
research,19.0
songs,19.0
tiktok,19.0
hunt,19.0
hehe,19.0
rlly,19.0
performance,19.0
amount,19.0
sitting,19.0
entire,19.0
beginning,19.0
shame,19.0
office,19.0
science,19.0
fighting,19.0
eyes,19.0
rich,19.0
garden,19.0
save,19.0
spent,19.0
poking,19.0
asking,19.0
cannot,19.0
middle,19.0
excellent,19.0
extra,19.0
behind,19.0
low,19.0
exploring,19.0
internet,19.0
adults,19.0
af,19.0
hopefully,19.0
trust,19.0
following,19.0
baseball,19.0
platform,19.0
plenty,19.0
released,19.0
loving,19.0
album,19.0
100,19.0
ikon,19.0
memes,19.0
pics,19.0
active,19.0
moments,19.0
lil,19.0
obviously,19.0
pc,19.0
grow,18.0
shot,18.0
j,18.0
hurt,18.0
^^,18.0
pop,18.0
scared,18.0
eating,18.0
certain,18.0
planning,18.0
history,18.0
snow,18.0
lunch,18.0
tl,18.0
language,18.0
hold,18.0
ar,18.0
five,18.0
learned,18.0
record,18.0
test,18.0
sex,18.0
sunday,18.0
hits,18.0
due,18.0
truly,18.0
blocked,18.0
himself,18.0
mental,18.0
matter,18.0
sent,18.0
death,18.0
near,18.0
worse,18.0
photos,18.0
groups,18.0
bts,18.0
visit,18.0
created,18.0
adult,18.0
k,18.0
congratulations,18.0
11,18.0
crying,18.0
worst,18.0
challenging,18.0
ended,18.0
south,18.0
la,18.0
couldn't,18.0
themselves,18.0
click,18.0
ma,18.0
release,18.0
@youtube,18.0
gives,18.0
ladies,18.0
15,18.0
friendly,18.0
throw,17.0
wars,17.0
idc,17.0
mask,17.0
warzone,17.0
results,17.0
road,17.0
:3,17.0
beach,17.0
brand,17.0
deserve,17.0
dick,17.0
across,17.0
box,17.0
stays,17.0
turns,17.0
discord,17.0
below,17.0
red,17.0
college,17.0
private,17.0
clips,17.0
wit,17.0
turned,17.0
currently,17.0
woke,17.0
comment,17.0
abt,17.0
joining,17.0
consider,17.0
million,17.0
winner,17.0
meeting,17.0
opportunity,17.0
staff,17.0
practice,17.0
unique,17.0
incredibly,17.0
daily,17.0
bobby,17.0
sort,17.0
fortnite,17.0
pure,17.0
opinion,17.0
smart,17.0
singing,17.0
ahead,17.0
happen,17.0
hoping,17.0
posting,17.0
btw,17.0
green,17.0
classic,17.0
spot,17.0
favourite,17.0
dr,17.0
animal,17.0
engaging,17.0
continue,17.0
colors,17.0
turning,17.0
quick,16.0
popular,16.0
stars,16.0
pandemic,16.0
22,16.0
fresh,16.0
market,16.0
student,16.0
silly,16.0
board,16.0
hella,16.0
blame,16.0
everyday,16.0
loves,16.0
swear,16.0
gameplay,16.0
strong,16.0
growing,16.0
key,16.0
joy,16.0
younger,16.0
33,16.0
fun),16.0
loser,16.0
front,16.0
fit,16.0
toxic,16.0
map,16.0
etc,16.0
rules,16.0
parts,16.0
paint,16.0
wake,16.0
brings,16.0
none,16.0
minecraft,16.0
3rd,16.0
thi,16.0
quiz,16.0
sister,16.0
soo,16.0
tips,16.0
street,16.0
order,16.0
instagram,16.0
finding,16.0
pass,16.0
ages,16.0
cry,16.0
@chica_leolatina,16.0
situation,16.0
wa,16.0
posted,16.0
cold,16.0
joined,16.0
james,16.0
longer,16.0
paid,16.0
thoughts,15.0
anniversary,15.0
track,15.0
broke,15.0
hands,15.0
edition,15.0
knowing,15.0
competition,15.0
focus,15.0
li,15.0
prison,15.0
actual,15.0
minute,15.0
whenever,15.0
wrote,15.0
town,15.0
trash,15.0
today's,15.0
clearly,15.0
radio,15.0
someone's,15.0
bag,15.0
brought,15.0
bot,15.0
physical,15.0
@pledis_17,15.0
las,15.0
era,15.0
2019,15.0
return,15.0
competitive,15.0
mode,15.0
offer,15.0
fashion,15.0
50,15.0
vegas,15.0
dinosaur,15.0
magic,15.0
stand,15.0
indeed,15.0
blood,15.0
born,15.0
alive,15.0
edit,15.0
major,15.0
sooo,15.0
complete,15.0
latest,15.0
co,15.0
product,15.0
0,15.0
rly,15.0
keeps,15.0
program,15.0
answer,15.0
relationship,15.0
member,15.0
interested,15.0
environment,14.0
harder,14.0
who's,14.0
editing,14.0
prefer,14.0
double,14.0
moots,14.0
bitch,14.0
drinking,14.0
alot,14.0
pa,14.0
da,14.0
tech,14.0
irl,14.0
numbers,14.0
calls,14.0
stuck,14.0
moving,14.0
asked,14.0
role,14.0
picking,14.0
possible,14.0
deep,14.0
dancing,14.0
mini,14.0
personal,14.0
nearly,14.0
process,14.0
relax,14.0
