word,frequency
characters,23.0
unfortunately,23.0
2021,23.0
meet,23.0
tv,23.0
proud,23.0
gay,23.0
awful,23.0
saved,23.0
apparently,23.0
movies,23.0
asking,23.0
decided,23.0
sit,23.0
tubbo,23.0
depressed,23.0
bitches,23.0
bestie,23.0
ah,23.0
bunch,23.0
empty,23.0
himself,23.0
tf,22.0
scared,22.0
cheer,22.0
experience,22.0
ready,22.0
trust,22.0
posting,22.0
months,22.0
series,22.0
6,22.0
haha,22.0
biden,22.0
via,22.0
stand,22.0
number,22.0
woke,22.0
along,22.0
power,22.0
tfatws,22.0
pray,22.0
chance,22.0
cried,22.0
wa,22.0
lets,22.0
report,22.0
taken,22.0
acting,22.0
sister,22.0
easy,22.0
broken,22.0
lady,22.0
brain,22.0
saturday,21.0
demise,21.0
deep,21.0
hoping,21.0
mask,21.0
act,21.0
hour,21.0
shravan,21.0
met,21.0
@narendramodi,21.0
apart,21.0
comfort,21.0
fucked,21.0
pandemic,21.0
11,21.0
played,21.0
self,21.0
missing,21.0
fire,21.0
tears,21.0
k,21.0
bruh,21.0
spent,21.0
suddenly,21.0
turned,21.0
three,21.0
entire,21.0
vaccine,21.0
personal,21.0
/,21.0
murder,21.0
americans,21.0
grow,21.0
cares,21.0
forgot,21.0
depression,21.0
later,21.0
lack,21.0
save,20.0
blue,20.0
cut,20.0
lots,20.0
scene,20.0
thinks,20.0
justice,20.0
online,20.0
eating,20.0
ho,20.0
anyways,20.0
desperate,20.0
dark,20.0
worked,20.0
normal,20.0
recently,20.0
alive,20.0
niggas,20.0
@thedsmpgames,20.0
stressed,20.0
om,20.0
obviously,20.0
era,20.0
level,20.0
ji,20.0
sucks,20.0
former,20.0
sex,20.0
choose,20.0
bout,20.0
cops,19.0
voice,19.0
john,19.0
water,19.0
set,19.0
fall,19.0
hopefully,19.0
hurts,19.0
takes,19.0
lore,19.0
wh,19.0
70s,19.0
mum,19.0
accept,19.0
edit,19.0
often,19.0
allah,19.0
blame,19.0
ca,19.0
massive,19.0
+,19.0
facts,19.0
everywhere,19.0
continue,19.0
blocked,19.0
fake,19.0
expect,19.0
clown,19.0
artists,19.0
fav,19.0
youtube,19.0
clear,19.0
y'all,19.0
shanti,19.0
suffering,19.0
ugh,19.0
update,18.0
luck,18.0
room,18.0
relationship,18.0
aged,18.0
aw,18.0
sold,18.0
realized,18.0
baycityrollers,18.0
although,18.0
road,18.0
soft,18.0
sending,18.0
ranboo,18.0
ma,18.0
order,18.0
racism,18.0
childhood,18.0
em,18.0
animals,18.0
horny,18.0
8,18.0
ab,18.0
pics,18.0
sitting,18.0
sound,18.0
correct,18.0
energy,18.0
fear,18.0
students,18.0
goodbye,18.0
youve,18.0
list,18.0
line,18.0
turns,18.0
dumb,18.0
disappointed,18.0
emotional,18.0
lately,18.0
mr,18.0
college,18.0
meeting,17.0
perfect,17.0
sooo,17.0
brought,17.0
coffee,17.0
@mtgreenee,17.0
speak,17.0
market,17.0
terribly,17.0
20,17.0
growing,17.0
confused,17.0
cases,17.0
joy,17.0
career,17.0
tommy,17.0
la,17.0
simply,17.0
st,17.0
using,17.0
finish,17.0
boi,17.0
excuse,17.0
pop,17.0
na,17.0
usually,17.0
@jackposobiec,17.0
however,17.0
anxious,17.0
lesmckeown,17.0
serious,17.0
changed,17.0
minutes,17.0
singing,17.0
players,17.0
sadly,17.0
afraid,16.0
swear,16.0
@aoc,16.0
beat,16.0
stan,16.0
legit,16.0
hilarious,16.0
test,16.0
red,16.0
internet,16.0
giving,16.0
starting,16.0
videos,16.0
husband,16.0
tartan,16.0
100%,16.0
@hawleymo,16.0
somebody,16.0
local,16.0
loving,16.0
completely,16.0
across,16.0
original,16.0
control,16.0
ex,16.0
force,16.0
dreams,16.0
moments,16.0
none,16.0
main,16.0
evil,16.0
@eminem,16.0
fit,16.0
question,16.0
shouldn't,16.0
running,16.0
except,16.0
deserves,16.0
wrote,16.0
random,16.0
everytime,16.0
starts,16.0
version,16.0
@potus,16.0
currently,16.0
light,16.0
youth,16.0
towards,16.0
walk,16.0
tiktok,16.0
comment,16.0
beginning,16.0
ya,16.0
ik,16.0
netflix,16.0
everybody,16.0
event,16.0
@youtube,16.0
hearing,16.0
sent,16.0
wanting,16.0
issue,16.0
appreciate,16.0
